"name","mana_cost","combined_mana_cost","card_text","power","toughness","standard","commander","type","First_keyword","Second_keyword","Third_keyword","Fourth_keyword","Fifth_keyword","layout","prints_search_uri","rarity","number_keywords","Flying","Deathtouch","Haste","Vigilance","Broad_type","sanitised_name","Sixth_keyword"
"Power of Persuasion","{2}{U}",3,"Choose target creature an opponent controls, then roll a d20.
1—9 | Return it to its owner's hand.
10—19 | Its owner puts it on their choice of the top or bottom of their library.
20 | Gain control of it until the end of your next turn.",NA,NA,"not_legal","legal","Sorcery",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A5c615c99-77b7-4bea-9286-1e8d257153fb&unique=prints","uncommon",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Sorcery","Power of Persuasion",NA
"Eccentric Apprentice","{2}{U}",3,"Flying
When this creature enters, venture into the dungeon. (Enter the first room or advance to the next room.)
At the beginning of combat on your turn, if you've completed a dungeon, up to one target creature becomes a Bird with base power and toughness 1/1 and flying until end of turn.",2,2,"not_legal","legal","Creature — Tiefling Wizard","Flying","Venture into the dungeon",NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A27dbe95e-6274-416a-a45b-a2a0a64d5403&unique=prints","uncommon",2,"Flying","Not deathtouch","Not haste","Not vigilance","Creature","Eccentric Apprentice",NA
"Xorn","{2}{R}",3,"If you would create one or more Treasure tokens, instead create those tokens plus an additional Treasure token.",3,2,"not_legal","legal","Creature — Elemental","Treasure",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A11d8fab8-93af-4291-80bd-cf9436e99f4b&unique=prints","rare",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Xorn",NA
"Lurking Roper","{2}{G}",3,"This creature doesn't untap during your untap step.
Whenever you gain life, untap this creature.",4,5,"not_legal","legal","Creature — Horror",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A61f3e964-6bea-4543-992e-3e36404bf628&unique=prints","uncommon",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Lurking Roper",NA
"Chandra, Dressed to Kill","{1}{R}{R}",3,"+1: Add {R}. Chandra deals 1 damage to up to one target player or planeswalker.
+1: Exile the top card of your library. If it's red, you may cast it this turn.
−7: Exile the top five cards of your library. You may cast red spells from among them this turn. You get an emblem with ""Whenever you cast a red spell, this emblem deals X damage to any target, where X is the amount of mana spent to cast that spell.""",NA,NA,"not_legal","legal","Legendary Planeswalker — Chandra",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A4686f776-2055-470c-bd99-7c4bb32902c0&unique=prints","mythic",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Planeswalker","Chandra, Dressed to Kill",NA
"Sheoldred, the Apocalypse","{2}{B}{B}",4,"Deathtouch
Whenever you draw a card, you gain 2 life.
Whenever an opponent draws a card, they lose 2 life.",4,5,"legal","legal","Legendary Creature — Phyrexian Praetor","Deathtouch",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A34f34409-326d-4994-a0ea-1a69aa278f03&unique=prints","mythic",1,"Not flying","Deathtouch","Not haste","Not vigilance","Creature","Sheoldred, the Apocalypse",NA
"Arcane Signet","{2}",2,"{T}: Add one mana of any color in your commander's color identity.",NA,NA,"not_legal","legal","Artifact",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A0bc7f093-bef0-4f1a-852c-4b75ebf54838&unique=prints","uncommon",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Artifact","Arcane Signet",NA
"Atarka, World Render","{5}{R}{G}",7,"Flying, trample
Whenever a Dragon you control attacks, it gains double strike until end of turn.",6,4,"not_legal","legal","Legendary Creature — Dragon","Flying","Trample",NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Ac0b3bbce-977c-42a9-afcb-dabdfc717c97&unique=prints","rare",2,"Flying","Not deathtouch","Not haste","Not vigilance","Creature","Atarka, World Render",NA
"Atsushi, the Blazing Sky","{2}{R}{R}",4,"Flying, trample
When Atsushi dies, choose one —
• Exile the top two cards of your library. Until the end of your next turn, you may play those cards.
• Create three Treasure tokens.",4,4,"not_legal","legal","Legendary Creature — Dragon Spirit","Flying","Treasure","Trample",NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A535f405d-94df-4f45-aedc-b331103720b7&unique=prints","mythic",3,"Flying","Not deathtouch","Not haste","Not vigilance","Creature","Atsushi, the Blazing Sky",NA
"Beast Within","{2}{G}",3,"Destroy target permanent. Its controller creates a 3/3 green Beast creature token.",NA,NA,"not_legal","legal","Instant",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A7735eeba-693b-47e2-bd51-414379cf1016&unique=prints","uncommon",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Instant","Beast Within",NA
"Become the Avalanche","{4}{G}{G}",6,"Draw a card for each creature you control with power 4 or greater. Then creatures you control get +X/+X until end of turn, where X is the number of cards in your hand.",NA,NA,"not_legal","not_legal","Sorcery",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Ae5fcbbaf-9431-4fa8-ac11-12ace1f2054c&unique=prints","rare",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Sorcery","Become the Avalanche",NA
"Bountiful Landscape",NA,0,"{T}: Add {C}.
{T}, Sacrifice this land: Search your library for a basic Forest, Island, or Mountain card, put it onto the battlefield tapped, then shuffle.
Cycling {G}{U}{R} ({G}{U}{R}, Discard this card: Draw a card.)",NA,NA,"not_legal","legal","Land","Cycling",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A2eb69a8f-9456-4852-b868-85ae609d3441&unique=prints","common",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Land","Bountiful Landscape",NA
"Breaching Dragonstorm","{4}{R}",5,"When this enchantment enters, exile cards from the top of your library until you exile a nonland card. You may cast it without paying its mana cost if that spell's mana value is 8 or less. If you don't, put that card into your hand.
When a Dragon you control enters, return this enchantment to its owner's hand.",NA,NA,"not_legal","not_legal","Enchantment",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A5370ee80-0354-454f-a16e-ec133e432ecb&unique=prints","uncommon",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Enchantment","Breaching Dragonstorm",NA
"Broodcaller Scourge","{5}{G}{G}",7,"Flying
Whenever one or more Dragons you control deal combat damage to a player, you may put a permanent card with mana value less than or equal to that damage from your hand onto the battlefield.",5,7,"not_legal","not_legal","Creature — Dragon","Flying",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A16aa790a-8f7c-401c-9d43-dc9440a6f585&unique=prints","rare",1,"Flying","Not deathtouch","Not haste","Not vigilance","Creature","Broodcaller Scourge",NA
"Chaos Warp","{2}{R}",3,"The owner of target permanent shuffles it into their library, then reveals the top card of their library. If it's a permanent card, they put it onto the battlefield.",NA,NA,"not_legal","legal","Instant",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A07a0cba9-8768-4fd9-a3d5-b0f83b4bf8e8&unique=prints","rare",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Instant","Chaos Warp",NA
"Cinder Glade",NA,0,"({T}: Add {R} or {G}.)
This land enters tapped unless you control two or more basic lands.",NA,NA,"not_legal","legal","Land — Mountain Forest",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Adfac0258-e148-4d7d-8ded-fc2466d9caa6&unique=prints","rare",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Land","Cinder Glade",NA
"Command Tower",NA,0,"{T}: Add one mana of any color in your commander's color identity.",NA,NA,"not_legal","legal","Land",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A0895c9b7-ae7d-4bb3-af17-3b75deb50a25&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Land","Command Tower",NA
"Deceptive Frostkite","{U}{U}",2,"Flying
You may have this creature enter as a copy of a creature you control with power 4 or greater, except it's a Dragon in addition to its other types and it has flying.",1,1,"not_legal","not_legal","Creature — Dragon","Flying",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A96d7b761-b0b2-4ba3-98bd-3a9191ba544e&unique=prints","rare",1,"Flying","Not deathtouch","Not haste","Not vigilance","Creature","Deceptive Frostkite",NA
"Draconic Lore","{5}{U}",6,"This spell costs {2} less to cast if you control a Dragon.
Draw three cards.",NA,NA,"not_legal","legal","Instant",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A440881ad-48cf-4b82-8bb5-f506d1a51755&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Instant","Draconic Lore",NA
"Dragon Tempest","{1}{R}",2,"Whenever a creature you control with flying enters, it gains haste until end of turn.
Whenever a Dragon you control enters, it deals X damage to any target, where X is the number of Dragons you control.",NA,NA,"not_legal","legal","Enchantment",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Ab9bacb46-fd1d-459b-81c2-d7d08fe73848&unique=prints","uncommon",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Enchantment","Dragon Tempest",NA
"Dragon's Hoard","{3}",3,"Whenever a Dragon you control enters, put a gold counter on this artifact.
{T}, Remove a gold counter from this artifact: Draw a card.
{T}: Add one mana of any color.",NA,NA,"not_legal","legal","Artifact",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A8cf77dc4-763b-41b7-a5da-0ef2734f08e6&unique=prints","rare",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Artifact","Dragons Hoard",NA
"Dragonlord Atarka","{5}{R}{G}",7,"Flying, trample
When Dragonlord Atarka enters, it deals 5 damage divided as you choose among any number of target creatures and/or planeswalkers your opponents control.",8,8,"not_legal","legal","Legendary Creature — Elder Dragon","Flying","Trample",NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Adaff70a4-a990-47c9-b6ef-2c379272c8a3&unique=prints","mythic",2,"Flying","Not deathtouch","Not haste","Not vigilance","Creature","Dragonlord Atarka",NA
"Dragonlord's Servant","{1}{R}",2,"Dragon spells you cast cost {1} less to cast.",1,3,"legal","legal","Creature — Goblin Shaman",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Afaf81ae0-0b35-45ef-a50d-6cecf0c0eeeb&unique=prints","uncommon",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Dragonlords Servant",NA
"Elemental Bond","{2}{G}",3,"Whenever a creature you control with power 3 or greater enters, draw a card.",NA,NA,"not_legal","legal","Enchantment",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Ad9a7e5a6-3e41-4fc6-987a-18fe1b9d67dd&unique=prints","uncommon",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Enchantment","Elemental Bond",NA
"Encroaching Dragonstorm","{3}{G}",4,"When this enchantment enters, search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle.
When a Dragon you control enters, return this enchantment to its owner's hand.",NA,NA,"not_legal","not_legal","Enchantment",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A1e95c273-7fec-4f8d-8be9-e21ad4b93717&unique=prints","uncommon",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Enchantment","Encroaching Dragonstorm",NA
"Exotic Orchard",NA,0,"{T}: Add one mana of any color that a land an opponent controls could produce.",NA,NA,"not_legal","legal","Land",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A27b047e3-0d41-45e2-98e9-9391d7923a1e&unique=prints","rare",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Land","Exotic Orchard",NA
"Farseek","{1}{G}",2,"Search your library for a Plains, Island, Swamp, or Mountain card, put it onto the battlefield tapped, then shuffle.",NA,NA,"not_legal","legal","Sorcery",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A495e52e6-4c2b-4574-9474-eadbdcc8b4ac&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Sorcery","Farseek",NA
"Fellwar Stone","{2}",2,"{T}: Add one mana of any color that a land an opponent controls could produce.",NA,NA,"not_legal","legal","Artifact",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A95560508-7ac9-4be9-8a3f-3c7d5b52807b&unique=prints","uncommon",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Artifact","Fellwar Stone",NA
"Flooded Grove",NA,0,"{T}: Add {C}.
{G/U}, {T}: Add {G}{G}, {G}{U}, or {U}{U}.",NA,NA,"not_legal","legal","Land",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Adc974eb4-72b9-4213-887b-8ee684b93420&unique=prints","rare",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Land","Flooded Grove",NA
"Frontier Bivouac",NA,0,"This land enters tapped.
{T}: Add {G}, {U}, or {R}.",NA,NA,"not_legal","legal","Land",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Ae4cf6c2f-0f1e-4980-9ef9-e4eabcae42a9&unique=prints","uncommon",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Land","Frontier Bivouac",NA
"Frontier Siege","{3}{G}",4,"As this enchantment enters, choose Khans or Dragons.
• Khans — At the beginning of each of your main phases, add {G}{G}.
• Dragons — Whenever a creature you control with flying enters, you may have it fight target creature you don't control.",NA,NA,"not_legal","legal","Enchantment","Fight",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A4cfaa5cf-cc3d-49a7-9544-38a8bb7e9ec1&unique=prints","rare",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Enchantment","Frontier Siege",NA
"Gadrak, the Crown-Scourge","{2}{R}",3,"Flying
Gadrak can't attack unless you control four or more artifacts.
At the beginning of your end step, create a Treasure token for each nontoken creature that died this turn. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",5,4,"not_legal","legal","Legendary Creature — Dragon","Flying","Treasure",NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A42d7ec93-0943-43e2-9b65-b7edc3349410&unique=prints","rare",2,"Flying","Not deathtouch","Not haste","Not vigilance","Creature","Gadrak, the Crown-Scourge",NA
"Glorybringer","{3}{R}{R}",5,"Flying, haste
You may exert this creature as it attacks. When you do, it deals 4 damage to target non-Dragon creature an opponent controls. (An exerted creature won't untap during your next untap step.)",4,4,"not_legal","legal","Creature — Dragon","Flying","Haste","Exert",NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Ab75c3902-633e-4d24-acde-d7a9cc8f466e&unique=prints","rare",3,"Flying","Not deathtouch","Haste","Not vigilance","Creature","Glorybringer",NA
"Hammerhead Tyrant","{4}{U}{U}",6,"Flying
Whenever you cast a spell, return up to one target nonland permanent an opponent controls with mana value less than or equal to that spell's mana value to its owner's hand.",6,6,"not_legal","not_legal","Creature — Dragon","Flying",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A7830f600-c7c7-48f8-8020-3493c5745eed&unique=prints","rare",1,"Flying","Not deathtouch","Not haste","Not vigilance","Creature","Hammerhead Tyrant",NA
"Harbinger of the Hunt","{3}{R}{G}",5,"Flying
{2}{R}: This creature deals 1 damage to each creature without flying.
{2}{G}: This creature deals 1 damage to each other creature with flying.",5,3,"not_legal","legal","Creature — Dragon","Flying",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A3256029f-6558-4fcc-9fa1-74ceba3e5c92&unique=prints","rare",1,"Flying","Not deathtouch","Not haste","Not vigilance","Creature","Harbinger of the Hunt",NA
"Haven of the Spirit Dragon",NA,0,"{T}: Add {C}.
{T}: Add one mana of any color. Spend this mana only to cast a Dragon creature spell.
{2}, {T}, Sacrifice this land: Return target Dragon creature card or Ugin planeswalker card from your graveyard to your hand.",NA,NA,"not_legal","legal","Land",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Aacc9c16a-5e72-43bd-87e1-56a16aa892f5&unique=prints","rare",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Land","Haven of the Spirit Dragon",NA
"Hellkite Courser","{4}{R}{R}",6,"Flying
When this creature enters, you may put a commander you own from the command zone onto the battlefield. It gains haste. Return it to the command zone at the beginning of the next end step.",6,5,"not_legal","legal","Creature — Dragon","Flying",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Ac5abd58f-3e00-447b-a978-64cb88ad501b&unique=prints","mythic",1,"Flying","Not deathtouch","Not haste","Not vigilance","Creature","Hellkite Courser",NA
"Hinterland Harbor",NA,0,"This land enters tapped unless you control a Forest or an Island.
{T}: Add {G} or {U}.",NA,NA,"not_legal","legal","Land",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Afb5a3403-7f0b-406c-8c4f-d693be010ca6&unique=prints","rare",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Land","Hinterland Harbor",NA
"Karplusan Forest",NA,0,"{T}: Add {C}.
{T}: Add {R} or {G}. This land deals 1 damage to you.",NA,NA,"legal","legal","Land",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Abd912666-f37f-4767-af6f-9e6d0fcccacf&unique=prints","rare",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Land","Karplusan Forest",NA
"Keiga, the Tide Star","{5}{U}",6,"Flying
When Keiga dies, gain control of target creature.",5,5,"not_legal","legal","Legendary Creature — Dragon Spirit","Flying",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A521b1598-58c6-47a0-a7b3-021d70bf2b05&unique=prints","rare",1,"Flying","Not deathtouch","Not haste","Not vigilance","Creature","Keiga, the Tide Star",NA
"Kessig Wolf Run",NA,0,"{T}: Add {C}.
{X}{R}{G}, {T}: Target creature gets +X/+0 and gains trample until end of turn.",NA,NA,"not_legal","legal","Land",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Ac6911265-54ef-4c16-bcf2-1ffb24b7d426&unique=prints","rare",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Land","Kessig Wolf Run",NA
"Kodama's Reach","{2}{G}",3,"Search your library for up to two basic land cards, reveal those cards, put one onto the battlefield tapped and the other into your hand, then shuffle.",NA,NA,"not_legal","legal","Sorcery — Arcane",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A1593ea18-2f2f-4ab4-83fb-6ccc0bec8a90&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Sorcery","Kodamas Reach",NA
"Lathliss, Dragon Queen","{4}{R}{R}",6,"Flying
Whenever another nontoken Dragon you control enters, create a 5/5 red Dragon creature token with flying.
{1}{R}: Dragons you control get +1/+0 until end of turn.",6,6,"legal","legal","Legendary Creature — Dragon","Flying",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A15fef45d-f1a9-49b2-abaa-fe77bb9d1afd&unique=prints","rare",1,"Flying","Not deathtouch","Not haste","Not vigilance","Creature","Lathliss, Dragon Queen",NA
"Leyline Tyrant","{2}{R}{R}",4,"Flying
You don't lose unspent red mana as steps and phases end.
When this creature dies, you may pay any amount of {R}. When you do, it deals that much damage to any target.",4,4,"not_legal","legal","Creature — Dragon","Flying",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Af92aaa00-6ece-4033-b3df-b2fc2c4718d9&unique=prints","mythic",1,"Flying","Not deathtouch","Not haste","Not vigilance","Creature","Leyline Tyrant",NA
"Migration Path","{3}{G}",4,"Search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle.
Cycling {2} ({2}, Discard this card: Draw a card.)",NA,NA,"not_legal","legal","Sorcery","Cycling",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Adb4907f3-4071-47c4-9329-96b4813435be&unique=prints","uncommon",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Sorcery","Migration Path",NA
"Mossfire Valley",NA,0,"{1}, {T}: Add {R}{G}.",NA,NA,"not_legal","legal","Land",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A23bbd091-f6ff-4514-97aa-42c08164b4eb&unique=prints","rare",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Land","Mossfire Valley",NA
"Mosswort Bridge",NA,0,"Hideaway 4 (When this land enters, look at the top four cards of your library, exile one face down, then put the rest on the bottom in a random order.)
This land enters tapped.
{T}: Add {G}.
{G}, {T}: You may play the exiled card without paying its mana cost if creatures you control have total power 10 or greater.",NA,NA,"not_legal","legal","Land","Hideaway",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A7cb9e29f-835f-4155-a2a5-4b778866c773&unique=prints","rare",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Land","Mosswort Bridge",NA
"Nesting Dragon","{3}{R}{R}",5,"Flying
Landfall — Whenever a land you control enters, create a 0/2 red Dragon Egg creature token with defender and ""When this token dies, create a 2/2 red Dragon creature token with flying and '{R}: This token gets +1/+0 until end of turn.'""",5,4,"not_legal","legal","Creature — Dragon","Landfall","Flying",NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A0acc9372-58b4-43bf-ab82-1f95831c81d4&unique=prints","rare",2,"Flying","Not deathtouch","Not haste","Not vigilance","Creature","Nesting Dragon",NA
"Nogi, Draco-Zealot","{1}{R}{R}",3,"Dragon spells you cast cost {1} less to cast.
Whenever Nogi attacks, if you control three or more Dragons, until end of turn, Nogi becomes a Dragon with base power and toughness 5/5 and gains flying.",3,3,"not_legal","legal","Legendary Creature — Kobold Shaman",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A3d04aa8c-7bff-42c6-bed3-0b18d2cb1529&unique=prints","mythic",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Nogi, Draco-Zealot",NA
"Opportunistic Dragon","{2}{R}{R}",4,"Flying
When this creature enters, choose target Human or artifact an opponent controls. For as long as this creature remains on the battlefield, gain control of that permanent, it loses all abilities, and it can't attack or block.",4,3,"not_legal","legal","Creature — Dragon","Flying",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A46f46bdd-52b8-436f-9a39-f5360a84b2cd&unique=prints","rare",1,"Flying","Not deathtouch","Not haste","Not vigilance","Creature","Opportunistic Dragon",NA
"Parapet Thrasher","{2}{R}{R}",4,"Flying
Whenever one or more Dragons you control deal combat damage to an opponent, choose one that hasn't been chosen this turn —
• Destroy target artifact that opponent controls.
• This creature deals 4 damage to each other opponent.
• Exile the top card of your library. You may play it this turn.",4,3,"not_legal","not_legal","Creature — Dragon","Flying",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A722e23d5-4f2a-43cd-bbd5-baf56b76e68d&unique=prints","rare",1,"Flying","Not deathtouch","Not haste","Not vigilance","Creature","Parapet Thrasher",NA
"Path of Ancestry",NA,0,"This land enters tapped.
{T}: Add one mana of any color in your commander's color identity. When that mana is spent to cast a creature spell that shares a creature type with your commander, scry 1. (Look at the top card of your library. You may put that card on the bottom.)",NA,NA,"not_legal","legal","Land","Scry",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Ab473e293-59e3-4e04-acf2-622604aeb25f&unique=prints","common",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Land","Path of Ancestry",NA
"Rapacious Dragon","{4}{R}",5,"Flying
When this creature enters, create two Treasure tokens. (They're artifacts with ""{T}, Sacrifice this token: Add one mana of any color."")",3,3,"legal","legal","Creature — Dragon","Flying","Treasure",NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A0944ec2e-1dd9-459f-8f1d-667242cf52fe&unique=prints","uncommon",2,"Flying","Not deathtouch","Not haste","Not vigilance","Creature","Rapacious Dragon",NA
"Rapid Hybridization","{U}",1,"Destroy target creature. It can't be regenerated. That creature's controller creates a 3/3 green Frog Lizard creature token.",NA,NA,"not_legal","legal","Instant",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A06692cd9-ac2f-4a32-8fd1-043ba3c0fe71&unique=prints","uncommon",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Instant","Rapid Hybridization",NA
"Reality Shift","{1}{U}",2,"Exile target creature. Its controller manifests the top card of their library. (That player puts the top card of their library onto the battlefield face down as a 2/2 creature. If it's a creature card, it can be turned face up any time for its mana cost.)",NA,NA,"not_legal","legal","Instant","Manifest",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A70dc830e-d05b-4fc7-88dd-879e140b3fbf&unique=prints","uncommon",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Instant","Reality Shift",NA
"Reflections of Littjara","{4}{U}",5,"As this enchantment enters, choose a creature type.
Whenever you cast a spell of the chosen type, copy that spell. (A copy of a permanent spell becomes a token.)",NA,NA,"not_legal","legal","Enchantment",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Ac3fdfb94-2d10-4743-864c-a59fdd57d8b7&unique=prints","rare",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Enchantment","Reflections of Littjara",NA
"Rockfall Vale",NA,0,"This land enters tapped unless you control two or more other lands.
{T}: Add {R} or {G}.",NA,NA,"not_legal","legal","Land",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A185c70c1-8403-4ae5-b45d-3679d4ee092a&unique=prints","rare",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Land","Rockfall Vale",NA
"Rootbound Crag",NA,0,"This land enters tapped unless you control a Mountain or a Forest.
{T}: Add {R} or {G}.",NA,NA,"not_legal","legal","Land",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A9516c4c1-d72d-434f-97e1-6a862434a169&unique=prints","rare",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Land","Rootbound Crag",NA
"Sarkhan, Soul Aflame","{1}{U}{R}",3,"Dragon spells you cast cost {1} less to cast.
Whenever a Dragon you control enters, you may have Sarkhan become a copy of it until end of turn, except its name is Sarkhan, Soul Aflame and it's legendary in addition to its other types.",2,4,"legal","legal","Legendary Creature — Human Shaman",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Abbcae463-ba05-4cfe-9c25-13f2e64698c7&unique=prints","mythic",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Sarkhan, Soul Aflame",NA
